id,label,startDate,endDate,dependsOn,dependsOn,dependsOn
FelixFilm,FelixFilm,2014-05-14,,サンジゲン,,
davidproduction,david production,2007-09-01,,GONZO,,
エンカレッジフィルムズ,エンカレッジフィルムズ,2008-08-01,,GONZO,,
フッズエンタテインメント,フッズエンタテインメント,2009-02-01,,GONZO,,
StapleEntertainment,Staple Entertainment,2020-02-01,,フッズエンタテインメント,,
グラフィニカ,グラフィニカ,2009-04-01,,GONZO,スタジオケルマディック,
ENGI,ENGI,2018-04-04,,グラフィニカ,,
ランドック・スタジオ,ランドック・スタジオ,2009-07-01,,GONZO,,
studiogram,studio gram,2010-01-01,,ランドック・スタジオ,,
Studio五組,Studio五組,2010-05-01,,GONZO,,
AXsiZ,AXsiZ,2011-07-01,,Studio五組,,
スタジオKAI,スタジオKAI,2019-06-01,,GONZO,サテライト,
カラー,カラー,2006-05-01,,ガイナックス,,
トリガー,トリガー,2011-08-01,,ガイナックス,,
ミルパンセ,ミルパンセ,2013-03-06,,ガイナックス,,
ガイナ,ガイナ,2014-11-04,,ガイナックス,,
トランス・アーツ,トランス・アーツ,1967-01-01,2012-03-01,,,
あーとぼっくす,あーとぼっくす,2012-01-01,2018-11-07,トランス・アーツ,,
アドバンス石神井,アドバンス石神井,2011-09-01,,トランス・アーツ,,
ワオワールド,ワオワールド,2000-01-01,,,,
アニメーションスタジオ・セブン,アニメーションスタジオ・セブン,2007-09-01,,ワオワールド,ラディクス,
スタジオコクピット,スタジオコクピット,1978-03-01,2016-03-31,,,
ラディクス,ラディクス,1991-01-01,2006-10-01,スタジオコクピット,タツノコプロ,
デジタルネットワークアニメーション,デジタルネットワークアニメーション,2006-03-23,,ラディクス,,
ゼロジー,ゼロジー,2011-06-02,,スタジオコクピット,ラディクス,デジタルネットワークアニメーション
アートランド,アートランド,1978-09-01,2010-12-01,,,
アニメーションスタジオ・アートランド,アニメーションスタジオ・アートランド,2010-12-01,2017-07-12,アートランド,,
南町奉行所,南町奉行所,1984-01-01,2008-11-01,,,
アステリズム,アステリズム,2009-01-01,,南町奉行所,,
Nexus,Nexus,2012-01-01,,アステリズム,,
DLE,DLE,2001-12-01,,,,
ギャザリング,ギャザリング,2009-08-01,2022-02-28,DLE,,
amo,amo,2010-01-01,,,,
旭プロダクション,旭プロダクション,1974-06-01,,,,
スタジオ古留美,スタジオ古留美,1979-01-01,,,,
童夢,童夢,1993-05-18,2016-01-01,,,
武遊,武遊,1998-01-01,,,,
ドリーム・フォース,ドリーム・フォース,1999-08-01,2021-10-27,,,
作楽クリエイト,作楽クリエイト,2002-02-01,,,,
白組,白組,1974-08-01,,,,
ROBOT,ROBOT,1986-06-01,,,,
オレンジ,オレンジ,2004-05-01,,,,
ダンデライオンアニメーションスタジオ,ダンデライオンアニメーションスタジオ,2007-04-01,,東映アニメーション,,
ポリゴン・ピクチュアズ,ポリゴン・ピクチュアズ,1983-07-22,,,,
コミックス・ウェーブ・フィルム,コミックス・ウェーブ・フィルム,2007-03-01,,,,
ヤオヨロズ,ヤオヨロズ,2013-08-01,2020-03-31,,,
バウンスィ,バウンスィ,2015-10-01,,ヤオヨロズ,,
